epoch 0 finished: loss=2.386832,  acc=0.319712
epoch 1 finished: loss=1.555007,  acc=0.600561
epoch 2 finished: loss=1.129552,  acc=0.677885
epoch 3 finished: loss=0.898138,  acc=0.733173
epoch 4 finished: loss=0.762585,  acc=0.776042
epoch 5 finished: loss=0.656759,  acc=0.830529
epoch 6 finished: loss=0.539271,  acc=0.892228
epoch 7 finished: loss=0.342153,  acc=0.952324
epoch 8 finished: loss=0.286734,  acc=0.971154
epoch 9 finished: loss=0.140379,  acc=0.991587
epoch 10 finished: loss=0.094536,  acc=0.995192
epoch 11 finished: loss=0.062207,  acc=0.997596
epoch 12 finished: loss=0.050226,  acc=1.000000
epoch 13 finished: loss=0.041667,  acc=0.998798
epoch 14 finished: loss=0.035866,  acc=1.000000
epoch 15 finished: loss=0.024378,  acc=1.000000
epoch 16 finished: loss=0.017772,  acc=1.000000
epoch 17 finished: loss=0.014910,  acc=1.000000
epoch 18 finished: loss=0.015718,  acc=1.000000
epoch 19 finished: loss=0.010591,  acc=1.000000 
