epoch 0 finished: loss=2.694432,  acc=0.087340
epoch 1 finished: loss=2.462010,  acc=0.215946
epoch 2 finished: loss=2.226661,  acc=0.369391
epoch 3 finished: loss=1.992720,  acc=0.453526
epoch 4 finished: loss=1.765553,  acc=0.502404
epoch 5 finished: loss=1.551911,  acc=0.496394
epoch 6 finished: loss=1.424837,  acc=0.548478
epoch 7 finished: loss=1.247253,  acc=0.663061
epoch 8 finished: loss=1.034645,  acc=0.687901
epoch 9 finished: loss=0.815095,  acc=0.766026
epoch 10 finished: loss=0.701718,  acc=0.840545
epoch 11 finished: loss=0.575180,  acc=0.887821
epoch 12 finished: loss=0.551808,  acc=0.895433
epoch 13 finished: loss=0.405686,  acc=0.945112
epoch 14 finished: loss=0.372064,  acc=0.946715
epoch 15 finished: loss=0.397281,  acc=0.928686
epoch 16 finished: loss=0.225296,  acc=0.972756
epoch 17 finished: loss=0.175369,  acc=0.983974
epoch 18 finished: loss=0.173733,  acc=0.975962
epoch 19 finished: loss=0.120263,  acc=0.986779
