epoch 0 finished: loss=2.509395,  acc=0.374199
epoch 1 finished: loss=1.844364,  acc=0.556891
epoch 2 finished: loss=1.226479,  acc=0.695913
epoch 3 finished: loss=0.922648,  acc=0.752804
epoch 4 finished: loss=0.788363,  acc=0.821314
epoch 5 finished: loss=0.596430,  acc=0.902644
epoch 6 finished: loss=0.711970,  acc=0.848958
epoch 7 finished: loss=0.413441,  acc=0.927484
epoch 8 finished: loss=0.301932,  acc=0.944311
epoch 9 finished: loss=0.242680,  acc=0.953926
epoch 10 finished: loss=0.358906,  acc=0.931490
epoch 11 finished: loss=0.149256,  acc=0.981971
epoch 12 finished: loss=0.111746,  acc=0.995593
epoch 13 finished: loss=0.089349,  acc=0.998798
epoch 14 finished: loss=0.062218,  acc=0.996394
epoch 15 finished: loss=0.051983,  acc=0.997596
epoch 16 finished: loss=0.039169,  acc=1.000000
epoch 17 finished: loss=0.033040,  acc=1.000000
epoch 18 finished: loss=0.027937,  acc=1.000000
epoch 19 finished: loss=0.024362,  acc=1.000000
