epoch 0 finished: loss=2.514032,  acc=0.338141
epoch 1 finished: loss=2.057679,  acc=0.582532
epoch 2 finished: loss=1.460081,  acc=0.687500
epoch 3 finished: loss=0.953286,  acc=0.758814
epoch 4 finished: loss=0.709654,  acc=0.840545
epoch 5 finished: loss=0.549168,  acc=0.907051
epoch 6 finished: loss=0.351944,  acc=0.945112
epoch 7 finished: loss=0.244479,  acc=0.961538
epoch 8 finished: loss=0.152509,  acc=0.985577
epoch 9 finished: loss=0.099322,  acc=0.996394
epoch 10 finished: loss=0.062794,  acc=0.998798
epoch 11 finished: loss=0.062210,  acc=0.997596
epoch 12 finished: loss=0.044959,  acc=0.998798
epoch 13 finished: loss=0.033728,  acc=0.998798
epoch 14 finished: loss=0.028865,  acc=1.000000
epoch 15 finished: loss=0.022996,  acc=0.998798
epoch 16 finished: loss=0.021569,  acc=1.000000
epoch 17 finished: loss=0.019597,  acc=1.000000
epoch 18 finished: loss=0.023105,  acc=0.996795
epoch 19 finished: loss=0.016422,  acc=1.000000
