epoch 0 finished: loss=2.613763,  acc=0.182292
epoch 1 finished: loss=2.094452,  acc=0.515625
epoch 2 finished: loss=1.367930,  acc=0.724359
epoch 3 finished: loss=0.903936,  acc=0.803686
epoch 4 finished: loss=0.740255,  acc=0.861378
epoch 5 finished: loss=0.451463,  acc=0.927083
epoch 6 finished: loss=0.256827,  acc=0.974760
epoch 7 finished: loss=0.177583,  acc=0.977965
epoch 8 finished: loss=0.103760,  acc=0.995192
epoch 9 finished: loss=0.071403,  acc=0.993189
epoch 10 finished: loss=0.063377,  acc=0.996394
epoch 11 finished: loss=0.042404,  acc=0.998798
epoch 12 finished: loss=0.030715,  acc=0.998798
epoch 13 finished: loss=0.026684,  acc=1.000000
epoch 14 finished: loss=0.022250,  acc=1.000000
epoch 15 finished: loss=0.019464,  acc=1.000000
epoch 16 finished: loss=0.019947,  acc=1.000000
epoch 17 finished: loss=0.013644,  acc=1.000000
epoch 18 finished: loss=0.012975,  acc=1.000000
epoch 19 finished: loss=0.014945,  acc=1.000000
