epoch 0 finished: loss=2.682670,  acc=0.264022
epoch 1 finished: loss=2.314914,  acc=0.514022
epoch 2 finished: loss=1.948691,  acc=0.614984
epoch 3 finished: loss=1.607208,  acc=0.684696
epoch 4 finished: loss=1.290243,  acc=0.736378
epoch 5 finished: loss=1.105357,  acc=0.761218
epoch 6 finished: loss=0.955180,  acc=0.791266
epoch 7 finished: loss=0.849067,  acc=0.813702
epoch 8 finished: loss=0.758939,  acc=0.843349
epoch 9 finished: loss=0.732973,  acc=0.825721
epoch 10 finished: loss=0.639626,  acc=0.869792
epoch 11 finished: loss=0.573965,  acc=0.880208
epoch 12 finished: loss=0.525735,  acc=0.883814
epoch 13 finished: loss=0.498333,  acc=0.895833
epoch 14 finished: loss=0.443836,  acc=0.919872
epoch 15 finished: loss=0.386903,  acc=0.943109
epoch 16 finished: loss=0.303797,  acc=0.969151
epoch 17 finished: loss=0.264158,  acc=0.981170
epoch 18 finished: loss=0.229505,  acc=0.987981
epoch 19 finished: loss=0.225101,  acc=0.976362
