epoch 0 finished: loss=2.525632,  acc=0.238782
epoch 1 finished: loss=1.792625,  acc=0.623397
epoch 2 finished: loss=1.176792,  acc=0.731971
epoch 3 finished: loss=0.842387,  acc=0.824519
epoch 4 finished: loss=0.630156,  acc=0.891827
epoch 5 finished: loss=0.495257,  acc=0.909054
epoch 6 finished: loss=0.351700,  acc=0.953125
epoch 7 finished: loss=0.256046,  acc=0.965545
epoch 8 finished: loss=0.190989,  acc=0.975160
epoch 9 finished: loss=0.128901,  acc=0.991587
epoch 10 finished: loss=0.110914,  acc=0.991587
epoch 11 finished: loss=0.097825,  acc=0.996394
epoch 12 finished: loss=0.072827,  acc=0.998798
epoch 13 finished: loss=0.054541,  acc=0.997596
epoch 14 finished: loss=0.047196,  acc=1.000000
epoch 15 finished: loss=0.038594,  acc=0.998798
epoch 16 finished: loss=0.033099,  acc=1.000000
epoch 17 finished: loss=0.028093,  acc=1.000000
epoch 18 finished: loss=0.029552,  acc=1.000000
epoch 19 finished: loss=0.021473,  acc=1.000000
