epoch 0 finished: loss=2.787854,  acc=0.153446
epoch 1 finished: loss=2.350255,  acc=0.413061
epoch 2 finished: loss=1.316881,  acc=0.642628
epoch 3 finished: loss=0.718816,  acc=0.791266
epoch 4 finished: loss=0.415505,  acc=0.893429
epoch 5 finished: loss=0.354061,  acc=0.903446
epoch 6 finished: loss=0.186395,  acc=0.963942
epoch 7 finished: loss=0.113808,  acc=0.980769
epoch 8 finished: loss=0.197681,  acc=0.957131
epoch 9 finished: loss=0.322725,  acc=0.918269
epoch 10 finished: loss=0.065237,  acc=0.989183
epoch 11 finished: loss=0.056647,  acc=0.994391
epoch 12 finished: loss=0.069822,  acc=0.983574
epoch 13 finished: loss=0.044276,  acc=0.997596
epoch 14 finished: loss=0.031806,  acc=0.996394
epoch 15 finished: loss=0.031904,  acc=0.997596
epoch 16 finished: loss=0.022963,  acc=0.997596
epoch 17 finished: loss=0.018225,  acc=0.995593
epoch 18 finished: loss=0.023548,  acc=0.995192
epoch 19 finished: loss=0.018856,  acc=0.996795
